internal_ticker,token,token_type,prior_probability,word_count
AAPL,apple,conDim,0.200,1
AAPL,aapl,conDim,1.000,1
AAPL,apple inc.,conDim,1.000,2
AAPL,#aapl,conDim,1.000,1
AAPL,#iphone,conDim,1.000,1
AAPL,#appleiphone,conDim,1.000,1
AAPL,#macbook,conDim,1.000,1
AAPL,#macbookpro,conDim,1.000,1
AAPL,#airpods,conDim,1.000,1
AAPL,#applewatch,conDim,1.000,1
AAPL,#applemusic,conDim,1.000,1
AAPL,#applestore,conDim,1.000,1
AAPL,google,conDim,0.125,1
AAPL,market,conDim,0.036,1
AAPL,inc,conDim,0.083,1
AAPL,companies,conDim,0.059,1
AAPL,company,conDim,0.043,1
AAPL,stocks,conDim,0.045,1
AAPL,last,conDim,0.033,1
AAPL,week,conDim,0.030,1
AAPL,shares,conDim,0.059,1
AAPL,amazon,conDim,0.167,1
AAPL,report,conDim,0.111,1
AAPL,photo,conDim,0.050,1
AAPL,technology,conDim,0.111,1
AAPL,government,conDim,0.067,1
AAPL,file,conDim,0.053,1
AAPL,tech,conDim,0.143,1
AAPL,data,conDim,0.043,1
AAPL,group,conDim,0.056,1
AAPL,stock,conDim,0.048,1
AAPL,investors,conDim,0.053,1
AAPL,month,conDim,0.045,1
AAPL,business,conDim,0.067,1
AAPL,rose,conDim,0.083,1
AAPL,according,conDim,0.071,1
AAPL,points,conDim,0.071,1
AAPL,earnings,conDim,0.071,1
AAPL,trump,conDim,0.056,1
AAPL,time,conDim,0.031,1
AAPL,index,conDim,0.067,1
AAPL,president,conDim,0.053,1
AAPL,high,conDim,0.048,1
AAPL,markets,conDim,0.059,1
AAPL,people,conDim,0.038,1
AAPL,pandemic,conDim,0.045,1
AAPL,states,conDim,0.067,1
AAPL,china,conDim,0.167,1
AAPL,trading,conDim,0.053,1
AAPL,york,conDim,0.077,1
AAPL,first,conDim,0.037,1
AAPL,fell,conDim,0.100,1
AAPL,like,conDim,0.034,1
AAPL,including,conDim,0.100,1
AAPL,news,conDim,0.056,1
AAPL,years,conDim,0.050,1
AAPL,quarter,conDim,0.111,1
AAPL,corp,conDim,0.333,1
AAPL,day,conDim,0.032,1
AAPL,sales,conDim,0.143,1
AAPL,store,conDim,0.500,1
AAPL,growth,conDim,0.100,1
AAPL,department,conDim,0.250,1
AAPL,united,conDim,0.083,1
AAPL,search,conDim,0.250,1
AAPL,top,conDim,0.048,1
AAPL,users,conDim,0.250,1
AAPL,music,conDim,1.000,1
AAPL,deal,conDim,0.059,1
AAPL,house,conDim,0.091,1
AAPL,trade,conDim,0.062,1
AAPL,media,conDim,0.125,1
AAPL,take,conDim,0.062,1
AAPL,chief,conDim,0.067,1
AAPL,still,conDim,0.043,1
AAPL,world,conDim,0.038,1
AAPL,federal,conDim,0.500,1
AAPL,much,conDim,0.062,1
AAPL,chinese,conDim,0.200,1
AAPL,law,conDim,0.250,1
AAPL,street,conDim,0.167,1
AAPL,services,conDim,0.250,1
AAPL,demand,conDim,0.143,1
AAPL,court,conDim,0.167,1
AAPL,comment,conDim,0.200,1
AAPL,election,conDim,0.059,1
AAPL,national,conDim,0.167,1
AAPL,european,conDim,0.111,1
AAPL,industry,conDim,0.167,1
AAPL,investment,conDim,0.125,1
AAPL,security,conDim,0.250,1
AAPL,profit,conDim,0.200,1
AAPL,get,conDim,0.033,1
AAPL,state,conDim,0.083,1
AAPL,make,conDim,0.040,1
AAPL,revenue,conDim,0.167,1
AAPL,see,conDim,0.040,1
AAPL,long,conDim,0.048,1
AAPL,added,conDim,0.125,1
AAPL,justice,conDim,0.333,1
AMZN,amazon,conDim,0.167,1
AMZN,amzn,conDim,1.000,1
AMZN,amazon.com inc.,conDim,1.000,2
AMZN,#amzn,conDim,1.000,1
AMZN,premieres,conDim,1.000,1
AMZN,dream,conDim,1.000,1
AMZN,trailer,conDim,1.000,1
AMZN,common,conDim,1.000,1
AMZN,man,conDim,0.333,1
AMZN,company,conDim,0.043,1
AMZN,fly,conDim,1.000,1
AMZN,companies,conDim,0.059,1
AMZN,market,conDim,0.036,1
AMZN,last,conDim,0.033,1
AMZN,people,conDim,0.038,1
AMZN,like,conDim,0.034,1
AMZN,data,conDim,0.043,1
AMZN,time,conDim,0.031,1
AMZN,day,conDim,0.032,1
AMZN,first,conDim,0.037,1
AMZN,inc,conDim,0.083,1
AMZN,future,conDim,0.167,1
AMZN,google,conDim,0.125,1
AMZN,get,conDim,0.033,1
AMZN,deal,conDim,0.059,1
AMZN,reality,conDim,1.000,1
AMZN,world,conDim,0.038,1
AMZN,prime,conDim,0.250,1
AMZN,years,conDim,0.050,1
AMZN,apple,conDim,0.200,1
AMZN,president,conDim,0.053,1
AMZN,book,conDim,0.500,1
AMZN,according,conDim,0.071,1
AMZN,report,conDim,0.111,1
AMZN,business,conDim,0.067,1
AMZN,photo,conDim,0.050,1
AMZN,group,conDim,0.056,1
AMZN,pandemic,conDim,0.045,1
AMZN,file,conDim,0.053,1
AMZN,government,conDim,0.067,1
AMZN,goes,conDim,1.000,1
AMZN,top,conDim,0.048,1
AMZN,film,conDim,0.500,1
AMZN,including,conDim,0.100,1
AMZN,tech,conDim,0.143,1
AMZN,week,conDim,0.030,1
AMZN,take,conDim,0.062,1
AMZN,make,conDim,0.040,1
AMZN,stock,conDim,0.048,1
AMZN,technology,conDim,0.111,1
AMZN,much,conDim,0.062,1
AMZN,link,conDim,0.250,1
AMZN,best,conDim,0.111,1
AMZN,power,conDim,0.100,1
AMZN,sales,conDim,0.143,1
AMZN,services,conDim,0.250,1
AMZN,order,conDim,0.200,1
AMZN,says,conDim,0.100,1
AMZN,long,conDim,0.048,1
AMZN,see,conDim,0.040,1
AMZN,series,conDim,0.500,1
AMZN,even,conDim,0.059,1
AMZN,price,conDim,0.056,1
AMZN,led,conDim,0.500,1
AMZN,appliances,conDim,1.000,1
AMZN,story,conDim,0.500,1
AMZN,buy,conDim,0.077,1
AMZN,state,conDim,0.083,1
AMZN,amp,conDim,0.043,1
AMZN,free,conDim,0.200,1
AMZN,investors,conDim,0.053,1
AMZN,country,conDim,0.111,1
AMZN,health,conDim,0.250,1
AMZN,media,conDim,0.125,1
AMZN,home,conDim,0.125,1
AMZN,well,conDim,0.053,1
AMZN,shares,conDim,0.059,1
AMZN,help,conDim,0.083,1
AMZN,watch,conDim,0.167,1
AMZN,told,conDim,0.100,1
AMZN,month,conDim,0.045,1
AMZN,commerce,conDim,0.500,1
AMZN,vs,conDim,0.333,1
AMZN,trade,conDim,0.062,1
AMZN,comment,conDim,0.200,1
AMZN,back,conDim,0.043,1
AMZN,news,conDim,0.056,1
AMZN,still,conDim,0.043,1
AMZN,statement,conDim,0.333,1
AMZN,inspiring,conDim,1.000,1
AMZN,stocks,conDim,0.045,1
AMZN,work,conDim,0.067,1
AMZN,live,conDim,0.111,1
AMZN,court,conDim,0.167,1
AMZN,workers,conDim,0.333,1
AMZN,house,conDim,0.091,1
AMZN,part,conDim,0.143,1
AMZN,reliance,conDim,1.000,1
AMZN,executive,conDim,0.250,1
AMZN,states,conDim,0.067,1
BABA,alibaba,conDim,1.000,1
BABA,baba,conDim,0.500,1
BABA,alibaba group holding limited adr,conDim,1.000,5
BABA,#alibaba,conDim,1.000,1
BABA,#alibabagroup,conDim,1.000,1
BABA,camera,conDim,1.000,1
BABA,like,conDim,0.034,1
BABA,group,conDim,0.056,1
BABA,man,conDim,0.333,1
BABA,detect,conDim,1.000,1
BABA,chinese,conDim,0.200,1
BABA,national,conDim,0.167,1
BABA,rate,conDim,0.333,1
BABA,game,conDim,0.250,1
BABA,tv,conDim,0.500,1
BABA,embarrassing,conDim,1.000,1
BABA,blend,conDim,1.000,1
BABA,get,conDim,0.033,1
BABA,go,conDim,0.053,1
BABA,people,conDim,0.038,1
BABA,data,conDim,0.043,1
BABA,ipo,conDim,1.000,1
BABA,fit,conDim,1.000,1
BABA,electricity,conDim,1.000,1
BABA,market,conDim,0.036,1
BABA,use,conDim,0.111,1
BABA,china,conDim,0.167,1
BABA,even,conDim,0.059,1
BABA,playing,conDim,0.500,1
BABA,turn,conDim,1.000,1
BABA,investors,conDim,0.053,1
BABA,minister,conDim,0.250,1
BABA,form,conDim,1.000,1
BABA,make,conDim,0.040,1
BABA,company,conDim,0.043,1
BABA,matter,conDim,1.000,1
BABA,going,conDim,0.059,1
BABA,index,conDim,0.067,1
BABA,wear,conDim,1.000,1
BABA,detective,conDim,1.000,1
BABA,shares,conDim,0.059,1
BABA,listing,conDim,1.000,1
BABA,hold,conDim,1.000,1
BABA,world,conDim,0.038,1
BABA,companies,conDim,0.059,1
BABA,last,conDim,0.033,1
BABA,run,conDim,1.000,1
BABA,time,conDim,0.031,1
BABA,week,conDim,0.030,1
BABA,unit,conDim,1.000,1
BABA,went,conDim,0.333,1
BABA,stock,conDim,0.048,1
BABA,offering,conDim,1.000,1
BABA,say,conDim,0.100,1
BABA,handkerchief,conDim,1.000,1
BABA,search,conDim,0.250,1
BABA,buy,conDim,0.077,1
BABA,baby,conDim,1.000,1
BABA,end,conDim,0.143,1
BABA,photo,conDim,0.050,1
BABA,still,conDim,0.043,1
BABA,document,conDim,1.000,1
BABA,inside,conDim,0.500,1
BABA,business,conDim,0.067,1
BABA,first,conDim,0.037,1
BABA,day,conDim,0.032,1
BABA,amp,conDim,0.043,1
BABA,whole,conDim,0.333,1
BABA,base,conDim,1.000,1
BABA,back,conDim,0.043,1
BABA,giant,conDim,1.000,1
BABA,see,conDim,0.040,1
BABA,prints,conDim,1.000,1
BABA,shanghai,conDim,1.000,1
BABA,prime,conDim,0.250,1
BABA,file,conDim,0.053,1
BABA,good,conDim,0.056,1
BABA,commerce,conDim,0.500,1
BABA,list,conDim,0.500,1
BABA,credit,conDim,0.500,1
BABA,reading,conDim,0.500,1
BABA,media,conDim,0.125,1
BABA,long,conDim,0.048,1
BABA,years,conDim,0.050,1
BABA,rope,conDim,1.000,1
BABA,ant,conDim,1.000,1
BABA,public,conDim,0.200,1
BABA,invigilator,conDim,1.000,1
BABA,mans,conDim,1.000,1
BABA,tech,conDim,0.143,1
BABA,direct,conDim,1.000,1
BABA,firm,conDim,1.000,1
BABA,help,conDim,0.083,1
BABA,well,conDim,0.053,1
BABA,jack,conDim,1.000,1
BABA,government,conDim,0.067,1
BABA,bank,conDim,0.111,1
BABA,call,conDim,1.000,1
BABA,know,conDim,0.125,1
BABA,spot,conDim,0.500,1
BAC,bank of america,conDim,1.000,3
BAC,bac,conDim,1.000,1
BAC,bank of america corp.,conDim,1.000,4
BAC,#bac,conDim,1.000,1
BAC,#bofa,conDim,1.000,1
BAC,bank,conDim,0.111,1
BAC,data,conDim,0.043,1
BAC,banks,conDim,0.250,1
BAC,diversity,conDim,1.000,1
BAC,work,conDim,0.067,1
BAC,market,conDim,0.036,1
BAC,black,conDim,0.250,1
BAC,disclose,conDim,1.000,1
BAC,investors,conDim,0.053,1
BAC,take,conDim,0.062,1
BAC,pandemic,conDim,0.045,1
BAC,office,conDim,1.000,1
BAC,markets,conDim,0.059,1
BAC,targets,conDim,1.000,1
BAC,last,conDim,0.033,1
BAC,senior,conDim,1.000,1
BAC,group,conDim,0.056,1
BAC,business,conDim,0.067,1
BAC,information,conDim,1.000,1
BAC,branch,conDim,0.500,1
BAC,contact,conDim,1.000,1
BAC,workforce,conDim,0.500,1
BAC,minutes,conDim,0.333,1
BAC,investment,conDim,0.125,1
BAC,stocks,conDim,0.045,1
BAC,people,conDim,0.038,1
BAC,york,conDim,0.077,1
BAC,company,conDim,0.043,1
BAC,oil,conDim,0.111,1
BAC,companies,conDim,0.059,1
BAC,click,conDim,0.500,1
BAC,time,conDim,0.031,1
BAC,first,conDim,0.037,1
BAC,stock,conDim,0.048,1
BAC,report,conDim,0.111,1
