function_words,the,to,in,of,and,a,on,that,for,as,from,with,by,at,or,more,an,its,this,it,up,who,after,which,they,could,would,other,one,according,some,but,when,over,since,about,down,than,while,them,will,many,into,may,can,no,before,like,most,what
the,0.122,0.074,0.079,0.148,0.044,0.143,0.047,0.01,0.006,0.062,0.029,0.0,0.031,0.0,0.015,0.0,0.0,0.022,0.017,0.004,0.0,0.0,0.015,0.006,0.0,0.031,0.0,0.006,0.004,0.0,0.023,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.039,0.0,0.0,0.0,0.013,0.004,0.0,0.0,0.0,0.0,0.0,0.0
to,0.156,0.05,0.063,0.022,0.077,0.077,0.116,0.0,0.057,0.0,0.115,0.0,0.0,0.0,0.007,0.0,0.077,0.016,0.0,0.0,0.0,0.0,0.051,0.036,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.202,0.01,0.036,0.133,0.025,0.197,0.0,0.014,0.008,0.058,0.0,0.018,0.037,0.0,0.0,0.0,0.0,0.003,0.014,0.006,0.0,0.0,0.0,0.028,0.0,0.029,0.025,0.033,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.033
of,0.308,0.038,0.107,0.071,0.01,0.118,0.0,0.0,0.078,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.057,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.028,0.0,0.0,0.0,0.0,0.0,0.0
and,0.281,0.025,0.07,0.089,0.04,0.066,0.045,0.0,0.019,0.008,0.025,0.0,0.014,0.0,0.05,0.0,0.0,0.0,0.008,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.057,0.0,0.0,0.0,0.025,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0
a,0.105,0.0,0.28,0.164,0.052,0.04,0.112,0.034,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.034,0.014,0.0,0.0,0.046,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.214,0.052,0.11,0.021,0.1,0.093,0.029,0.0,0.004,0.055,0.044,0.0,0.033,0.0,0.018,0.014,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.025,0.0,0.014,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033
that,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.299,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.287,0.006,0.035,0.0,0.034,0.252,0.08,0.0,0.027,0.062,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.352,0.038,0.079,0.025,0.025,0.145,0.0,0.0,0.0,0.019,0.127,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
