function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.156,0.132,0.094,0.035,0.094,0.047,0.025,0.033,0.019,0.013,0.021,0.0,0.0,0.02,0.09,0.027,0.004,0.0,0.0,0.039,0.0,0.0,0.03,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.002,0.0,0.012,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.014,0.014,0.005,0.0,0.003,0.0,0.02
to,0.3,0.0,0.051,0.067,0.072,0.037,0.043,0.067,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.028,0.005,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.012,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
of,0.393,0.051,0.012,0.041,0.01,0.038,0.016,0.075,0.009,0.029,0.005,0.006,0.0,0.007,0.069,0.003,0.0,0.0,0.039,0.0,0.0,0.0,0.029,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.003,0.0,0.0,0.039,0.029,0.0
a,0.284,0.044,0.112,0.0,0.106,0.0,0.0,0.149,0.054,0.0,0.03,0.056,0.0,0.0,0.007,0.017,0.0,0.0,0.0,0.054,0.0,0.02,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0
in,0.25,0.082,0.031,0.055,0.035,0.011,0.0,0.011,0.0,0.046,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.039,0.0,0.0,0.017,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0
and,0.33,0.105,0.047,0.011,0.0,0.0,0.034,0.056,0.04,0.063,0.0,0.0,0.015,0.0,0.017,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.035,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0
on,0.0,0.127,0.039,0.017,0.0,0.248,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.639,0.12,0.038,0.0,0.0,0.049,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
that,0.18,0.034,0.072,0.054,0.017,0.046,0.108,0.0,0.0,0.0,0.144,0.03,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
as,0.098,0.062,0.0,0.18,0.009,0.101,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.029,0.139,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
