function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.287,0.078,0.026,0.07,0.061,0.026,0.053,0.007,0.023,0.007,0.027,0.0,0.008,0.005,0.0,0.008,0.0,0.003,0.0,0.0,0.007,0.013,0.008,0.017,0.0,0.0,0.0,0.0,0.066,0.047,0.002,0.007,0.0,0.067,0.029,0.003,0.002,0.0,0.0,0.0,0.0,0.004,0.01,0.0,0.0,0.024,0.0,0.0,0.004,0.0
to,0.55,0.019,0.049,0.031,0.047,0.0,0.035,0.0,0.009,0.016,0.012,0.0,0.007,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.01,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.028,0.0,0.0,0.06,0.032,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
in,0.462,0.036,0.067,0.045,0.121,0.076,0.0,0.024,0.057,0.0,0.0,0.037,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.621,0.06,0.004,0.022,0.045,0.0,0.06,0.0,0.0,0.0,0.048,0.0,0.0,0.039,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.016,0.0,0.0,0.0,0.007,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0
and,0.567,0.065,0.055,0.018,0.0,0.051,0.0,0.005,0.046,0.0,0.013,0.023,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.017,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0
a,0.205,0.056,0.161,0.152,0.094,0.005,0.028,0.0,0.019,0.0,0.021,0.0,0.028,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.016,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.012,0.0
on,0.412,0.04,0.0,0.0,0.072,0.0,0.028,0.028,0.0,0.049,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.112,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.067,0.0
that,0.478,0.113,0.218,0.018,0.024,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
for,0.351,0.0,0.0,0.0,0.0,0.329,0.0,0.0,0.012,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.395,0.0,0.0,0.0,0.043,0.0,0.043,0.0,0.032,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.014,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.264,0.0,0.041,0.31,0.31,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.687,0.067,0.016,0.0,0.0,0.028,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
more,0.378,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
